23871.237140    0.07822	5120150511054129203510124470762686002201910049001587083 088265+1574810642a0656
23871.247110   -0.03230	5120150511055550639394924501560620319401910033001711091 088275+1604910642a0716
23871.344150    0.04383	5120150511081534406764924532286634992301910042002609049 088309+1844510642a0669
23872.182850    0.01590	5120150512042318494661424341948083005301910147001918780 088184+1255110642a0676
23872.192340   -0.01721	5120150512043658319823824328637306783001910026001199119 088190+1304410642a0564
23872.212460    0.08117	5120150512050556904095824314057849597301910028002759023 088209+1384410642a0593
23872.276320    0.04675	5120150512063754229623424286332756554301910018002451051 088286+1704010642a0648
23872.315050    0.05468	5120150512073340187804424291900552892301910029001792105 088303+1893110642a0687
23872.327000    0.03141	5120150512075053089405324296960766196301910010002191119 088307+1883810642a0278
23872.354340    0.00732	5120150512083014979809224314159598162301910044002285095 088326+1855010642a0653
23872.363310    0.11945	5120150512084309940412324348644414401101910026002395035 088336+1865010642a0650
23872.373730    0.02355	5120150512085810411636724330834069680301910031002828035 088333+1875110642a0623
23873.183050    0.02323	5120150513042335586223224221608146749301910013003361033 088033+1673110642a0257
23873.221510    0.02691	5120150513051858274914524174635070476301910076002009087 088055+1753310642a0695
23873.231190    0.02022	5120150513053254848433924165057565219301910084002165092 088065+1793310642a0649
23873.321340   -0.02210	5120150513074243478809224124975391603301910038003140023 088114+2163010642a0737
23888.710500   -0.00775	5120150528170307271263226523784554819301910048003197027 087509+1366710642a0660
23888.719510   -0.00202	5120150528171605274036126512096889871301910075001850058 087505+1366910642a0659
23888.727690    0.07837	5120150528172752739023326530064957715101910091001299318 087498+1347010642a0659
23888.740120   -0.05972	5120150528174546612022526486901041159001910052001525058 087500+1366910642a0648
23888.749490    0.09273	5120150528175915758959826471330400160201910039001926043 087496+1366910642a0636
23889.833440   -0.07163	5120150529200009001756526283794096418301910031003244009 087340+1168010642a0629
23889.866790    0.32555	5120150529204810532011126275420525231301910025003554006 087365+1187410642a0663
23889.901640   -0.03036	5120150529213821537718926278961573959001910038001495032 087378+1177310642a0689
23889.940390    0.02934	5120150529223410124742726300841450159301910037003285011 087369+1157110642a0665
23889.951290    0.01166	5120150529224951743668026299261255386201910016002582006 087365+1137110642a0586
23899.074710   -0.01702	5120150608014734802647924451894182431301910027002905019 087886+1616110642a0650
23899.093470    0.25736	5120150608021435622543024426385245218001910010002313025 087859+1665910642a0653
23899.107410    0.01077	5120150608023440502254824417019514364301910021003520010 087853+1695710642a0662
23899.175410   -0.04874	5120150608041235702440124395991540848401910115001554999 087800+1665710642a0668
23899.183010    0.11313	5120150608042332210975224407624822096101910036002068036 087805+1675610642a0692
23899.205300   -0.01145	5120150608045538168459124380020820863301910036003214035 087814+1705610642a0665
23900.057850    0.06532	5120150609012317829893224445238214178301910062002629107 087521+1564810642a0700
23900.118030    0.05027	5120150609024957783018124361732023595301910131001817220 087496+1535010642a0658
23900.127110   -0.02419	5120150609030302436740624366863753994401910087001613384 087491+1554910642a0736
23900.136830    0.13184	5120150609031702098494724371421331804101910083001779077 087491+1564910642a0683
23900.145480    0.05084	5120150609032929299253624334206127525301910081001921114 087490+1564910642a0701
23900.177850    0.04242	5120150609041606103987224311724560104301910086002424065 087495+1466510642a0733
23900.211100    0.02147	5120150609050358744722924300681688300301910103002693050 087498+1407110642a0685
23900.235300    0.01863	5120150609053850217032224300561771262301910112001880058 087503+1497110642a0703
23901.118480   -0.05528	5120150610025036259337424374676053003401910021001374202 087615+1178110642a0679
23901.129850    0.02399	5120150610030658820124024344937780903301910024001310199 087596+1188010642a0546
23901.146080   -0.04283	5120150610033021620420524338899165747401910014001351126 087633+1177910642a0418
23902.185570   -0.00000	5120150611042713499348224313196666954301910064001908199 087750+1466410642a0663
23902.191470    0.01810	5120150611043542791802224306843984680301910111001801195 087746+1476110642a0717
23902.202960   -0.00535	5120150611045215324871724295412503849301910078001937270 087746+1506110642a0690
